estado,jogada
012101000020000000000000000000000000000000,5
012101002020000000000000000000000000000000,1
012111002020000000000000000000000000000000,4
012111202020000000000000000000000000000000,6
012111202120000000000000000000000000000000,2
012111202120000002000000000000000000000000,3
012111202120100002000000000000000000000000,5
012111202120100002000000200000000000000000,3
012111202120100002000000200000010000000000,3
012111202120100022000000200000010000000000,2
112111202120100022000000200000010000000000,0
112111202120100022020000200000010000000000,5
112111202120100122020000200000010000000000,1
112111202120100122020002200000010000000000,2
112111202120100122020012200000010000000000,1
112111202120100122020012200002010000000000,1
112111202121100122020012200002010000000000,4
112111202121100122220012200002010000000000,4
100000000000000000000000000000000000000000,0
100002000000000000000000000000000000000000,5
100002000000100000000000000000000000000000,5
102002000000100000000000000000000000000000,2
102002000100100000000000000000000000000000,2
102202000100100000000000000000000000000000,3
102212000100100000000000000000000000000000,4
102212000120100000000000000000000000000000,3
102212000120100001000000000000000000000000,3
102212000120100001000000200000000000000000,3
112212000120100001000000200000000000000000,1
112212000120100021000000200000000000000000,2
112212000120100021000001200000000000000000,2
112212000120100021000001200000200000000000,2
112212010120100021000001200000200000000000,0
112212010120100021020001200000200000000000,5
